Ping,JDBC
0.5512273,2.149
0.5955714,2.0796
0.5235238,2.0541
0.5644286,2.0526
0.5812381,2.0795
0.6601363,2.1098
1.0222273,2.15
0.55154544,2.1599
0.61288,2.4149
0.59754544,2.1568
0.6553913,2.2416
0.52390903,2.1394
0.6657391,2.2005
0.61486363,2.1143
0.54485714,2.0899
0.52827275,2.193
0.5959047,2.0326
0.52854544,2.1854
0.5346364,2.1291
0.53359085,2.1479
0.5701818,2.1901
0.6043044,2.2475
0.6736818,2.2819
0.636,2.2273
0.67621744,2.2273
0.5677391,2.2138
0.57681817,2.1706
0.55372727,2.1683
0.6230952,2.2067
0.62,2.2784
0.6034783,2.2784
0.527,2.2074
0.58247834,2.2074
0.5956364,2.227
0.53908694,2.2436
0.6985454,2.1957
0.67504346,2.2487
0.60273916,2.234
0.7587391,2.289
0.57736367,2.1977
0.63969564,2.2119
0.57100004,2.1658
0.5672608,2.2799
0.6107501,2.3725
0.59468,2.4747
0.68929166,2.3924
0.65860003,2.4359
0.6390833,2.3984
0.6696,2.4068
0.5763913,2.2586
0.6335,2.3954
0.7699167,2.3385
0.64464,2.4683
0.642125,2.3505
0.8811667,2.3321
0.57255995,2.444
0.69504166,2.3974
0.69407696,2.5177
0.77439994,2.496
0.65976006,2.4132
0.61872,2.4325
0.62637496,2.3479
0.74165213,2.235
0.63299996,2.3262
0.90323997,2.4014
0.61904335,2.3123
0.6201304,2.2278
0.78108686,2.254
0.5424545,2.1602
0.6010909,2.1845
0.5732381,2.0797
0.6237083,2.3318
0.5917825,2.2823
0.6005909,2.1361
0.5878637,2.1675
0.59300005,2.2959
0.6685455,2.1396
0.6304347,2.2836
0.58521736,2.2183
0.5874091,2.1213
0.55786365,2.2082
0.55786955,2.2148
0.63027275,2.1705
0.6109131,2.2695
0.6300834,2.3363
0.7233478,2.2338
0.6478333,2.3833
0.729174,2.2636
0.7124347,2.2323
0.6937825,2.25
0.58400005,2.1799
0.6230909,2.1606
0.66834784,2.2789
0.6631304,2.2765
0.6273043,2.201
0.77660865,2.2497
0.65408325,2.3082
0.92362076,2.8928
0.5848262,2.2574
0.6267826,2.2114
0.6063182,2.1653
0.73063636,2.1411
0.60986364,2.1383
0.61527276,2.1439
0.5592727,2.1184
0.66032004,2.4376
0.5669091,2.1221
0.5857619,2.0891
0.7336363,2.1687
0.61785716,2.0888
0.66458327,2.3691
0.62879175,2.3564
0.6094091,2.1601
0.76763636,2.1592
0.6302608,2.2559
0.60814285,2.0719
0.6479545,2.1419
0.5734545,2.1514
0.613,2.1347
0.80467993,2.4978
0.6682175,2.2882
0.6681304,2.2348
0.64242864,2.0631
0.57672715,2.1027
0.56178266,2.2662
0.63896006,2.424
0.8308571,2.7055
0.5968696,2.2194
0.70678264,2.2594
0.80484,2.4813
0.7803704,2.6716
0.84386206,2.8527
0.98509985,2.9048
0.8745172,2.8379
0.9470332,2.9621
0.8998277,2.8467
0.87189656,2.8943
0.90248376,3.0894
0.77700007,2.8578
0.69181484,2.6921
0.8033939,3.2813
0.8664242,3.2031
1.0106553,2.8312
0.7573914,2.283
0.65579164,2.3415
0.65365213,2.2463
0.79452,2.456
0.7157037,2.6231
0.8269063,3.1853
0.641087,2.2572
0.7531201,2.4966
0.64168,2.4873
0.6038846,2.5396
0.6705385,2.5033
0.7181601,2.4779
0.6452916,2.3691
0.6453334,2.3665
0.7141035,2.8705
0.67200005,2.5659
0.57321733,2.247
0.6291364,2.1772
0.75632143,2.7903
0.6266,2.4714
0.63874996,2.3438
0.72170836,2.3249
0.7323201,2.4174
0.5762,2.4591
0.6876,2.4991
0.7101739,2.2805
0.61316663,2.3326
0.61641663,2.3701
0.6443846,2.527
0.72156525,2.2764
0.9437392,2.319
0.6298334,2.305
0.6125,2.3707
0.6567273,2.1918
0.64816654,2.3098
0.6307201,2.4643
0.63437504,2.3383
0.72514296,2.7448
0.99272406,2.8935
0.7752665,2.9685
0.78170013,2.9862
0.8065172,2.8483
0.7366154,2.541
0.65420836,2.3874
0.62244,2.4466
0.76119995,2.401
0.65336,2.4411
0.7089615,2.5403
0.7769287,2.7059
0.6838889,2.6978
0.6253479,2.2717
0.64249986,2.1699
0.6065455,2.1651
0.61745834,2.3741
0.7612964,2.6634
0.69866663,2.6981
0.8193704,2.6706
0.6789565,2.2947
0.6068636,2.1187
0.5502272,2.1431
0.7012173,2.2791
0.67712003,2.4556
0.64756525,2.2182
0.61482614,2.2211
0.78340894,2.1885
0.61820835,2.392
0.715375,2.3687
0.7767826,2.2517
0.5766521,2.2322
0.65500003,2.3357
0.58884,2.4964
0.74724,2.4742
0.6268333,2.304
0.65926087,2.2402
0.6059091,2.1782
0.5758182,2.1823
0.6285454,2.1801
0.5986364,2.1736
0.79099995,2.2747
0.757,2.1857
0.64450014,2.1599
0.76162505,2.394
0.7636667,2.3577
0.82488894,2.683
0.69216675,2.3138
0.6482083,2.3328
0.66936,2.4627
0.5972609,2.2061
0.6424584,2.3045
0.7272692,2.5389
0.7246,2.4196
0.5997499,2.325
0.5937916,2.3678
0.67204005,2.4278
0.85704166,2.3738
0.74614817,2.6158
0.71126914,2.5526
0.6469166,2.3381
0.6657083,2.3026
0.6527501,2.3121
0.6834783,2.2662
0.6015909,2.1458
0.6386522,2.2332
0.77544,2.4653
0.67364,2.4128
0.8075556,2.6047
0.61311996,2.4071
0.77276003,2.4953
0.7379615,2.5148
0.7695417,2.3076
0.79929626,2.6883
0.60192,2.4141
0.6194584,2.3694
0.66871995,2.479
0.77303696,2.627
0.76257694,2.5796
0.7218749,2.3423
0.6841154,2.5724
0.75334615,2.5854
0.61383337,2.3236
0.7115769,2.5333
0.65414286,2.7963
0.8057499,2.4034
0.66555995,2.4479
0.66396,2.4446
0.66270834,2.3464
0.6287826,2.2476
0.63887495,2.3163
0.6367727,2.1854
0.58265215,2.2169
0.5964783,2.2073
0.72947824,2.2823
0.63079995,2.4304
0.5927916,2.3229
0.6009166,2.3526
0.6112174,2.2708
0.6599566,2.2865
0.65620834,2.3712
0.7072308,2.5735
0.64044005,2.4343
0.8613103,2.8637
0.62684,2.4513
0.658875,2.3718
0.8310323,3.0996
0.8133182,2.2186
0.5912273,2.1001
0.55895245,2.0744
0.6166818,2.1768
0.6740909,2.1271
0.55685717,2.0353
0.6761739,2.2066
0.5680909,2.1254
0.6452728,2.1379
0.5411429,2.0978
0.60463643,2.1932
0.6469565,2.2463
0.652037,2.6247
0.6910385,2.5236
0.6004348,2.2328
0.6591481,2.6689
0.70143324,2.971
0.74029166,2.3875
0.6392273,2.1955
0.60229164,2.3291
0.73084605,2.527
0.6480714,2.7686
0.7618461,2.5376
0.64084,2.4798
0.6905769,2.5677
0.70163333,2.9778
0.5644583,2.3261
0.74399996,2.3092
0.5767826,2.2269
0.7105714,2.0966
0.6167392,2.2051
0.74678254,2.2506
0.62085724,2.0714
0.53895235,2.0853
0.66868186,2.1325
0.5741429,2.0659
0.5471905,2.028
0.5451905,2.0336
0.53735006,1.9788
0.6605714,2.0376
0.59499997,2.0885
0.5539048,2.0624
0.6479545,2.1409
0.9035908,2.1927
0.59749997,2.1091
0.65230435,2.2102
0.71956,2.4609
0.69648147,2.6791
0.8333103,2.8663
0.70536363,3.2015
0.7895807,3.037
0.8202,2.4663
0.6081923,2.592
0.8021154,2.5862
0.6896538,2.5401
0.65139127,2.2617
0.68365216,2.2919
0.68834776,2.2777
0.68712497,2.3113
0.71573913,2.2553
0.6575908,2.1758
0.60930437,2.2786
0.6676399,2.4762
0.8481143,3.4089
0.6771429,2.7205
0.8326897,2.8715
0.6758387,3.0116
0.6507826,2.253
0.6711538,2.5695
0.7601199,2.4493
0.74477273,2.1122
0.56671435,2.0689
0.698,2.1603
0.6274545,2.1375
0.6667728,2.1871
0.7573044,2.2493
0.6180454,2.1688
0.6476957,2.2904
0.64824,2.4777
0.69722223,2.6141
0.63199997,2.2984
0.60233337,2.3181
0.63900006,2.2734
0.6137083,2.3054
0.63543487,2.2635
0.6540833,2.3518
0.6008261,2.2763
0.72736,2.4913
0.7265001,2.3769
0.59227276,2.1749
0.62677276,2.1821
0.5379048,2.0815
0.6010435,2.2033
0.60895663,2.2875
0.7892916,2.3241
0.7085652,2.3107
0.59113044,2.2922
0.63823074,2.5203
0.73200005,2.7523
0.84464526,3.0426
0.8535998,2.9228
0.8607408,2.7269
0.62607694,2.5732
0.80916,2.4952
0.8144583,2.341
0.59700006,2.1829
0.72304344,2.2861
0.6406364,2.1502
0.5424287,2.0849
0.65059096,2.1734
0.5838695,2.2288
0.79287994,2.4026
0.5852173,2.2861
0.61763996,2.4557
0.65455556,2.6337
0.7391154,2.5321
0.5792307,2.55
0.7401429,2.7692
0.7050399,2.4645
0.685,2.3308
0.5918261,2.2459
0.70100003,2.1895
0.8124546,2.197
0.64595455,2.1182
0.66521746,2.2651
0.6495652,2.2642
0.6155833,2.318
0.58059096,2.17
0.64022726,2.1428
0.60595655,2.2518
0.6444783,2.3071
0.6824782,2.2946
0.82188004,2.4395
0.85207695,2.5894
0.59016,2.4359
